Name,Status,Purpose,Tags,Protocol Compatibility,Official Documentation,Use for
https://vercel.com/,Official,Web hosting for frontend deployments,Hosting / Deployment,N/A,https://vercel.com/docs,
https://render.com/,Official,Docker supported deployment,"Backend, CRON, Database, Hosting / Deployment, Storage",N/A,https://docs.railway.com/,(C) Hosting
https://tailwindcss.com/,Official,CSS utility framework for styling frontend,Frontend,N/A,https://tailwindcss.com/docs/installation/using-vite,
https://ui.shadcn.com/,Official,Component library built on Radix and Tailwind,Frontend,N/A,https://ui.shadcn.com/docs/installation,
https://www.typescriptlang.org/,Official,Strongly-typed JavaScript for frontend/backend development,"Backend, Frontend, Language",N/A,https://www.typescriptlang.org/docs/,
https://expressjs.com/,Official,Backend framework for APIs,"Backend, Framework",N/A,https://expressjs.com/en/starter/installing.html,
https://soliditylang.org/,Official,Smart contract language for EVM-compatible chains,"Language, Smart-contract",EVM,https://docs.soliditylang.org/en/v0.8.30/,
https://www.openzeppelin.com/,Official,Reusable Solidity contract libraries for DeFi logic and security,"Library, Smart-contract",EVM,https://docs.openzeppelin.com/,
https://thegraph.com/,Official,Decentralized indexing protocol for querying blockchain data,"Backend, Blockchain data",EVM,https://thegraph.com/docs/en/,
https://swagger.io/specification/,Official,API documentation and design standards,"Backend, Documentation",N/A,https://swagger.io/docs/,
https://metamask.io/en-GB,Official,Wallet for interacting with smart contracts during local or testnet use,"Auth, Framework, Wallet",EVM,https://docs.metamask.io/,
https://metamask.io/en-GB/developer/embedded-wallets,Official,MetaMask embedded-wallets lets users log in with email or socials while a blockchain wallet is created in the background.,"Auth, Wallet",EVM,https://docs.metamask.io/embedded-wallets/authentication,
https://wagmi.sh/,Official,Reactive blockchain frontend library,Library,EVM,https://wagmi.sh/react/getting-started,
https://viem.sh/,Official,Typescript Interface for Ethereum,Blockchain data,EVM,https://viem.sh/docs/getting-started,
https://nextjs.org/,Official,Web application framework,"Framework, Frontend",N/A,https://nextjs.org/docs,
https://www.docker.com/,Official,Local containerized dev environment setup,"Backend, Hosting / Deployment",N/A,https://docs.docker.com/,(C/D) Containers
https://www.postgresql.org/,Official,Options for backend data querying and storage,"Backend, Database",N/A,https://www.postgresql.org/docs/,(C) Database
https://clickhouse.com/,Official,Analyzing large quantities of historical blockchain data,"Backend, Database, Hosting / Deployment",N/A,https://clickhouse.com/docs,(C) Analytics
https://supabase.com/,Official,Hosted development platform.,"Auth, Backend, CRON, Database, Hosting / Deployment, Storage",N/A,https://supabase.com/docs,"(C) Auth, (C) Database, (C) Hosting, (C) Storage"
https://pinax.network/,Official,"Use for JSON RPCs, Substreams, Token APIs","Blockchain data, RPC, Substreams, Token API",Multi-Chain,https://www.youtube.com/@pinaxnetwork,(D) Blockchain
https://www.prisma.io/orm,Recommended,"Prisma ORM streamlines databases with models, migrations, type-safety, and auto-completion.","Backend, Library",N/A,https://www.prisma.io/docs/getting-started/quickstart-prismaPostgres,
https://getfoundry.sh/,Recommended,Local blockchain testing and contract deployment tools,Smart-contract,EVM,https://getfoundry.sh/introduction/getting-started,
https://hardhat.org/,Recommended,Local blockchain testing and contract deployment tools,Smart-contract,EVM,https://hardhat.org/docs/getting-started,
https://tenderly.co/,Recommended,"Use for Virtual Testnets, Alerts & Web3 Actions",Virtual Network,EVM,https://docs.tenderly.co/,(D) Blockchain
https://redis.io/,Recommended,"In-memory data store (often used as a cache, message broker, or key-value database).","Frontend, Library",N/A,,
https://sentry.io/welcome/,Recommended,"Logging, Error tracking, Key performance metrics","Backend, Frontend, Logging",N/A,https://docs.sentry.io/,
https://app.web3fast.dev/,To be confirmed,"Toolbox for smart contract testing, ABI reading, and transactions",Smart-contract,EVM,,
https://filecoin.io/,To be confirmed,Optional decentralized storage (if needed for asset handling),"Hosting / Deployment, Storage",Multi-Chain,https://docs.filecoin.io/,
https://ipfs.tech/,To be confirmed,Decentralized content-addressed storage protocol used for storing off-chain data,"Backend, Hosting / Deployment, Storage",Multi-Chain,https://docs.ipfs.tech/,
https://graphql.org/,To be confirmed,Options for backend data querying and storage,"Backend, Database",N/A,https://graphql.org/learn/,
https://remix-project.org,To be confirmed,Online Web3 IDE,"IDE, Smart-contract",N/A,https://remix-ide.readthedocs.io/en/latest/,
https://www.zksync.io/,To be confirmed,"Zero-knowledge trustless protocol ",ZK,N/A,https://docs.zksync.io/zk-stack,
https://midnight.network/,To be confirmed,"Zero-knowledge trustless protocol ",ZK,N/A,https://docs.midnight.network/,
https://sentry.io/,Official,Application monitoring & logging software,Logging,N/A,https://docs.sentry.io/,
https://trustwallet.com/,To be confirmed,Wallet for interacting with smart contracts during local or testnet use,"Auth, Framework, Wallet",EVM,https://developer.trustwallet.com/developer/,
https://walletconnect.network/,To be confirmed,Wallet for interacting with smart contracts during local or testnet use,"Auth, Framework, Wallet",EVM,https://docs.walletconnect.network/,
https://react.dev/,Not recommended,Frontend framework,"Framework, Frontend",N/A,,
https://ethers.org/,Deprecate,Deprecated: Use Viem.,"Blockchain data, Library",N/A,,
https://web3js.org/,Deprecate,Deprecated: Use Viem.,"Blockchain data, Library",N/A,,
https://auth0.com/,Use Alternative,Alternative: Use Supabase,Auth,N/A,,
https://www.netlify.com/,Use Alternative,Alternative: Vercel,"Frontend, Hosting / Deployment",N/A,,
